Identificador	RustIndex	Necrosis	Chlorosis	Threshold	Exetime
1.jpg	0.55%	0.47%	0.08%	0.14%	8479
2.jpg	0.42%	0.38%	0.04%	0.27%	6367
3.jpg	0.43%	0.43%	0.00%	0.30%	7578
4.jpg	0.41%	0.36%	0.05%	0.07%	7992
5.jpg	0.63%	0.54%	0.09%	1.13%	2736
6.jpg	0.98%	0.93%	0.05%	0.60%	3323
7.jpg	0.70%	0.52%	0.17%	0.73%	2537
8.jpg	0.47%	0.47%	0.00%	0.75%	3797
9.jpg	0.80%	0.60%	0.20%	0.31%	3852
10.jpg	1.12%	0.75%	0.37%	0.52%	5000
11.jpg	1.97%	1.15%	0.82%	2.16%	3903
12.jpg	3.12%	1.41%	1.71%	2.26%	2805
13.jpg	1.08%	0.85%	0.24%	0.90%	3002
14.jpg	1.07%	0.97%	0.10%	0.39%	3183
15.jpg	4.32%	3.34%	0.98%	0.41%	1867
16.jpg	2.26%	1.62%	0.64%	0.52%	1975
17.jpg	1.37%	0.82%	0.55%	0.96%	8642
18.jpg	3.50%	2.20%	1.30%	1.32%	7927
19.jpg	1.16%	0.98%	0.18%	0.94%	9153
20.jpg	4.06%	3.29%	0.77%	1.17%	2980
21.jpg	1.78%	1.32%	0.46%	0.21%	4979
22.jpg	3.10%	2.42%	0.68%	1.16%	2549
23.jpg	1.28%	0.78%	0.51%	1.22%	3243
24.jpg	2.37%	1.30%	1.07%	2.29%	3652
25.jpg	2.52%	1.22%	1.30%	1.67%	4529
26.jpg	50.07%	14.70%	35.37%	7.01%	2735
27.jpg	4.85%	3.50%	1.36%	2.01%	4587
28.jpg	35.68%	9.21%	26.48%	8.96%	2684
29.jpg	2.14%	1.53%	0.61%	0.83%	6346
30.jpg	0.97%	0.53%	0.45%	0.21%	5694
31.jpg	2.04%	1.55%	0.49%	0.35%	7491
32.jpg	2.15%	1.46%	0.69%	1.19%	9531
33.jpg	0.91%	0.75%	0.15%	0.56%	10817
34.jpg	6.47%	5.00%	1.47%	1.15%	8718
35.jpg	0.59%	0.43%	0.16%	0.45%	5132
36.jpg	1.06%	0.65%	0.42%	0.66%	3981
37.jpg	1.20%	0.93%	0.27%	0.38%	6467
38.jpg	0.81%	0.50%	0.32%	0.54%	4724
39.jpg	4.94%	4.21%	0.73%	0.96%	6447
40.jpg	1.23%	0.85%	0.38%	1.40%	5176
41.jpg	0.75%	0.54%	0.21%	0.53%	5681
42.jpg	0.34%	0.24%	0.10%	0.28%	5792
43.jpg	23.38%	17.00%	6.38%	4.27%	10169
44.jpg	9.83%	7.82%	2.02%	1.55%	9207
45.jpg	21.87%	15.65%	6.22%	3.20%	10122
46.jpg	42.90%	8.20%	34.70%	7.00%	2180
47.jpg	8.84%	3.93%	4.91%	7.43%	3075
48.jpg	26.54%	8.97%	17.58%	7.91%	2426
49.jpg	0.69%	0.69%	0.00%	0.67%	3173
50.jpg	1.33%	1.13%	0.20%	1.16%	2734
51.jpg	0.31%	0.29%	0.02%	0.64%	7284
52.jpg	0.77%	0.45%	0.32%	1.18%	7051
53.jpg	0.88%	0.42%	0.46%	0.47%	6501
54.jpg	1.98%	1.52%	0.46%	0.57%	7685
55.jpg	2.04%	0.84%	1.20%	0.22%	6384
56.jpg	1.71%	0.70%	1.01%	0.44%	5322
57.jpg	0.80%	0.52%	0.29%	0.46%	8467
58.jpg	0.67%	0.27%	0.40%	0.49%	5872
59.jpg	1.14%	0.54%	0.59%	0.50%	5660
60.jpg	10.36%	2.75%	7.61%	3.83%	1625
61.jpg	10.82%	3.41%	7.41%	5.02%	1941
62.jpg	5.83%	2.65%	3.18%	1.80%	2149
63.jpg	3.26%	1.09%	2.17%	1.59%	4301
64.jpg	4.26%	1.53%	2.73%	2.25%	3194
