Identificador	RustIndex	Necrosis	Chlorosis	Threshold	Exetime
1.jpg	3.54%	2.93%	0.61%	4.66%	120932
2.jpg	25.76%	16.22%	9.54%	14.22%	58114
3.jpg	27.25%	14.67%	12.58%	14.85%	7442
4.jpg	26.42%	13.03%	13.39%	28.48%	82613
5.jpg	16.44%	12.00%	4.44%	3.91%	57217
6.jpg	19.58%	8.42%	11.15%	7.50%	16249
7.jpg	11.57%	6.48%	5.09%	13.47%	30767
8.jpg	15.26%	8.94%	6.32%	16.20%	16133
9.jpg	47.06%	23.11%	23.94%	7.28%	55732
10.jpg	5.75%	2.60%	3.16%	10.15%	8894
11.jpg	20.09%	13.92%	6.17%	61.48%	30417
12.jpg	24.84%	15.95%	8.89%	11.67%	28514
13.jpg	16.91%	10.84%	6.08%	7.35%	45647
14.jpg	27.74%	13.42%	14.33%	12.87%	20679
15.jpg	36.62%	16.24%	20.38%	10.02%	6497
16.jpg	25.35%	5.10%	20.25%	31.79%	15709
17.jpg	18.59%	11.49%	7.10%	8.29%	73915
18.jpg	22.41%	11.30%	11.11%	24.49%	105132
19.jpg	8.38%	4.05%	4.33%	5.04%	70152
20.jpg	9.14%	6.82%	2.32%	38.83%	41087
21.jpg	0.30%	0.30%	0.00%	0.46%	53803
22.jpg	27.08%	13.80%	13.27%	7.63%	7608
23.jpg	23.83%	18.60%	5.23%	42.89%	58342
24.jpg	36.09%	16.22%	19.88%	43.88%	45659
25.jpg	10.96%	5.21%	5.74%	9.81%	92982
26.jpg	33.33%	16.63%	16.70%	29.07%	59448
27.jpg	10.85%	8.24%	2.61%	43.32%	72955
28.jpg	16.41%	14.14%	2.27%	44.41%	61650
29.jpg	23.43%	12.73%	10.70%	6.39%	9653
30.jpg	20.39%	12.32%	8.08%	10.39%	106368
31.jpg	30.05%	24.73%	5.33%	59.78%	58172
32.jpg	17.04%	10.82%	6.22%	47.91%	53667
33.jpg	25.55%	19.47%	6.09%	41.57%	71317
34.jpg	19.80%	13.50%	6.29%	28.74%	74287
35.jpg	18.36%	10.06%	8.30%	57.24%	46841
36.jpg	33.66%	15.51%	18.15%	26.72%	9138
37.jpg	38.24%	23.29%	14.96%	48.79%	6800
38.jpg	29.86%	21.58%	8.28%	24.87%	58612
39.jpg	9.40%	5.61%	3.79%	4.15%	92708
40.jpg	8.13%	3.36%	4.77%	29.98%	24403
41.jpg	8.18%	3.02%	5.16%	1.77%	63526
42.jpg	41.68%	19.47%	22.22%	24.55%	33297
43.jpg	23.27%	10.37%	12.91%	24.48%	24295
44.jpg	18.87%	10.34%	8.54%	40.52%	67277
45.jpg	19.82%	10.82%	9.00%	16.99%	13816
46.jpg	1.87%	1.05%	0.82%	1.75%	108988
47.jpg	9.88%	5.78%	4.10%	5.84%	68242
48.jpg	5.09%	3.13%	1.97%	5.68%	29668
49.jpg	10.62%	7.85%	2.77%	30.80%	70871
50.jpg	13.43%	9.07%	4.36%	6.47%	54575
