Identificador	RustIndex	Necrosis	Chlorosis	Threshold	Exetime
001_1.jpg	64.37%	10.27%	54.09%	1.79%	297482
001_4.jpg	99.83%	87.16%	12.66%	0.00%	256670
002_3.jpg	97.63%	71.86%	25.77%	1.44%	82045
003_1.jpg	38.36%	8.69%	29.67%	8.56%	425508
003_4.jpg	99.58%	81.76%	17.82%	0.00%	548163
004_3.jpg	99.60%	96.20%	3.40%	0.40%	156549
005_2.jpg	77.52%	32.25%	45.27%	2.60%	236781
006_2.jpg	86.08%	32.04%	54.04%	0.51%	190513
006_5.jpg	99.77%	94.04%	5.73%	0.00%	199154
007_2.jpg	99.97%	98.49%	1.47%	0.03%	343974
009_1.jpg	90.98%	47.84%	43.14%	0.25%	414162
009_4.jpg	99.98%	99.98%	0.00%	0.01%	359794
010_3.jpg	17.99%	1.96%	16.03%	3.95%	81531
011_2.jpg	100.00%	99.84%	0.16%	0.00%	315520
012_1.jpg	72.17%	33.84%	38.33%	3.53%	129522
012_4.jpg	100.00%	99.91%	0.09%	0.00%	127661
014_2.jpg	88.62%	32.09%	56.53%	1.17%	465595
015_1.jpg	72.86%	9.18%	63.68%	0.00%	220294
015_4.jpg	99.15%	73.30%	25.85%	0.40%	210238
016_3.jpg	68.96%	27.73%	41.23%	4.94%	126617
016_6.jpg	99.82%	97.52%	2.29%	0.18%	139877
017_3.jpg	79.92%	18.04%	61.89%	8.93%	95782
017_6.jpg	98.64%	85.02%	13.63%	1.35%	126068
001_2.jpg	67.41%	20.83%	46.58%	1.93%	280828
002_1.jpg	57.27%	11.53%	45.74%	9.00%	86384
002_4.jpg	86.69%	58.85%	27.85%	2.99%	160294
003_2.jpg	92.59%	31.70%	60.89%	0.25%	412923
004_1.jpg	72.37%	22.35%	50.02%	3.05%	195406
004_4.jpg	99.85%	97.48%	2.37%	0.15%	162658
005_3.jpg	76.29%	51.83%	24.46%	4.08%	228814
006_3.jpg	88.24%	48.56%	39.69%	3.24%	176287
006_6.jpg	99.98%	99.67%	0.30%	0.00%	172325
008_1.jpg	98.51%	94.84%	3.67%	1.49%	314380
009_2.jpg	97.85%	79.83%	18.02%	1.91%	366496
010_1.jpg	25.97%	1.55%	24.41%	2.04%	91315
010_4.jpg	23.32%	2.43%	20.89%	5.28%	88307
011_3.jpg	98.05%	73.26%	24.80%	0.00%	399560
012_2.jpg	84.80%	50.21%	34.59%	4.51%	135137
013_1.jpg	79.88%	39.35%	40.53%	2.73%	373586
014_3.jpg	95.43%	70.95%	24.48%	3.39%	400400
015_2.jpg	90.07%	21.07%	69.00%	0.00%	216348
016_1.jpg	42.00%	3.28%	38.72%	1.86%	161438
016_4.jpg	72.70%	30.78%	41.93%	2.52%	132363
017_1.jpg	74.37%	3.03%	71.33%	1.24%	112623
017_4.jpg	86.39%	20.68%	65.72%	2.04%	109667
002_5.jpg	99.82%	93.34%	6.48%	0.13%	87642
002_2.jpg	95.63%	47.66%	47.97%	0.37%	86757
001_4.jpg	99.72%	87.16%	12.56%	0.11%	242687
003_3.jpg	86.40%	41.12%	45.28%	7.06%	451754
004_2.jpg	98.64%	65.35%	33.29%	0.00%	154232
005_1.jpg	53.14%	6.05%	47.09%	1.84%	252833
006_1.jpg	50.10%	8.13%	41.97%	13.05%	208779
006_4.jpg	93.41%	79.27%	14.14%	2.32%	187592
007_1.jpg	95.71%	80.07%	15.63%	3.91%	474099
008_2.jpg	100.00%	100.00%	0.00%	0.00%	315420
009_3.jpg	99.87%	99.24%	0.63%	0.12%	372035
010_2.jpg	10.80%	1.04%	9.77%	1.66%	89828
011_1.jpg	67.97%	26.36%	41.61%	3.40%	304758
011_4.jpg	93.47%	55.01%	38.45%	3.86%	378006
012_3.jpg	97.91%	84.17%	13.74%	0.00%	137899
014_1.jpg	87.63%	25.12%	62.52%	1.50%	364868
014_4.jpg	99.97%	96.71%	3.26%	0.00%	414388
015_3.jpg	91.49%	54.92%	36.58%	4.45%	210326
016_2.jpg	54.49%	9.16%	45.33%	7.74%	135635
016_5.jpg	96.96%	68.42%	28.54%	2.07%	134258
017_2.jpg	65.93%	7.70%	58.24%	6.30%	132410
017_5.jpg	95.34%	70.86%	24.49%	3.37%	153290
001_3.jpg	92.56%	38.18%	54.38%	0.45%	274412
